,ListingId,借款金额,借款期限,借款利率,借款成功日期,初始评级,借款类型,是否首标,年龄,性别,手机认证,户口认证,视频认证,学历认证,征信认证,淘宝认证,历史成功借款次数,历史成功借款金额,总待还本金,历史正常还款期数,历史逾期还款期数,我的投资金额,当前到期期数,当前还款期数,已还本金,已还利息,待还本金,待还利息,标当前逾期天数,标当前状态,上次还款日期,上次还款本金,上次还款利息,下次计划还款日期,下次计划还款本金,下次计划还款利息,recorddate
71785,2753815,3000,12,12.0,2015/6/10,AA,普通,是,33,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,100,12,12,100.0,6.56,0.0,0.0,0,已还清,2016/6/10,8.85,0.03,,,,2017/2/28
274449,12323490,1500,12,18.0,2016/5/15,B,APP闪电,否,25,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1000.0,846.8,2,0,50,4,4,15.66,2.66,34.34,2.3,0,正常还款中,2016/9/15,4.0,0.58,2016/10/15,4.06,0.52,2016/9/30
204750,11182923,518,12,18.0,2016/4/20,B,APP闪电,否,20,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1750.0,1481.89,2,0,50,6,6,23.86,3.62,26.14,1.34,0,正常还款中,2016/10/18,4.13,0.45,2016/11/20,4.19,0.39,2016/10/31
146405,11402149,3300,10,18.0,2016/4/25,B,其他,否,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,10000.0,6232.38,7,0,50,5,5,24.05,3.05,25.95,1.15,0,正常还款中,2016/9/25,4.95,0.47,2016/10/25,5.03,0.39,2016/9/30
207869,7721219,10000,12,9.25,2016/1/16,AAA,应收安全标,否,31,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,6.0,51700.0,41578.18,14,0,202,9,9,149.71,9.41,52.29,0.75,0,正常还款中,2016/10/13,17.15,0.53,2016/11/16,17.28,0.4,2016/10/31
99630,3488923,5786,6,14.0,2015/8/10,B,普通,否,33,女,成功认证,成功认证,成功认证,成功认证,未成功认证,未成功认证,2.0,6500.0,0.0,18,0,100,6,6,100.0,4.1,0.0,0.0,0,已还清,2016/2/6,17.18,0.17,,,,2017/2/28
18272,8293217,1000,12,12.0,2016/1/30,AA,APP闪电,是,22,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,12,12,500.0,33.04,0.0,0.0,0,已还清,2017/2/2,44.05,0.37,,,,2017/2/28
185897,2258622,5742,12,18.0,2015/4/29,C,其他,否,28,男,成功认证,成功认证,成功认证,成功认证,未成功认证,未成功认证,3.0,11425.0,5241.62,8,1,100,12,12,100.0,9.92,0.0,0.0,0,已还清,2016/4/29,9.1,0.06,,,,2016/9/30
206013,3544148,2000,6,10.5,2015/8/10,AA,普通,是,32,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,80,6,6,80.0,2.44,0.0,0.0,0,已还清,2016/2/10,13.65,0.09,,,,2016/10/31
8686,27841941,5300,12,20.0,2016/12/16,C,其他,否,28,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,10300.0,9174.37,4,1,58,2,3,13.43,2.68,44.57,3.79,0,正常还款中,2017/2/6,4.55,0.82,2017/4/16,4.64,0.74,2017/2/28
154280,8295346,3249,12,22.0,2016/1/31,C,普通,否,44,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,16473.0,5750.61,10,1,50,8,2,50.0,1.38,0.0,0.0,0,已还清,2016/3/17,46.24,0.47,,,,2016/9/30
178353,8108070,3352,12,20.0,2016/1/26,C,普通,否,30,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,4.0,15046.0,6147.69,25,0,50,9,9,36.51,5.16,13.49,0.4,0,正常还款中,2016/10/26,4.33,0.3,2016/11/26,4.4,0.23,2016/10/31
170411,1928451,5000,7,12.0,2015/3/11,AA,普通,是,44,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,7,7,500.0,20.17,0.0,0.0,0,已还清,2015/10/11,73.61,0.7,,,,2016/9/30
15939,11471602,9700,10,16.0,2016/4/28,A,普通,否,28,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,5.0,46900.0,21827.52,12,0,50,10,1,50.0,0.55,0.0,0.0,0,已还清,2016/5/23,50.0,0.55,,,,2017/2/28
14717,3190653,3110,7,11.0,2015/7/13,AA,普通,否,26,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,8.0,38015.0,8890.21,14,0,500,7,2,500.0,4.71,0.0,0.0,0,已还清,2015/8/14,430.52,0.12,,,,2017/2/28
225670,2161622,4000,12,12.0,2015/4/15,AA,普通,是,29,男,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,12,12,500.0,33.04,0.0,0.0,0,已还清,2016/4/14,44.05,0.37,,,,2016/12/31
253458,19412323,4500,12,22.0,2016/9/13,D,普通,是,27,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,51,2,3,11.72,2.59,39.28,3.68,0,正常还款中,2016/11/17,3.98,0.79,2017/1/13,4.06,0.72,2016/11/30
64195,1640931,3000,7,12.0,2015/1/14,AA,普通,是,34,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,400,7,7,400.0,16.15,0.0,0.0,0,已还清,2015/8/14,58.88,0.57,,,,2017/2/28
247459,3646869,13800,18,16.0,2015/8/14,B,其他,是,30,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,100,15,15,46.99,15.53,53.01,3.51,0,正常还款中,2016/11/13,5.5,0.78,2016/12/13,5.57,0.71,2016/11/30
163380,24235005,3000,12,18.0,2016/11/8,B,APP闪电,是,30,男,未成功认证,成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,1,2,7.72,1.44,42.28,3.56,0,正常还款中,2016/12/15,3.89,0.69,2017/2/8,3.95,0.64,2016/12/31
213673,1688949,3629,12,12.0,2015/1/30,AA,普通,否,26,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,3000.0,1313.46,2,2,174,12,12,174.0,11.4,0.0,0.0,0,已还清,2016/1/30,15.38,0.07,,,,2016/10/31
206239,21148576,3000,12,12.0,2016/9/30,AA,APP闪电,否,22,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,2500.0,2193.6,4,0,300,1,1,23.65,3.0,276.35,16.84,0,正常还款中,2016/10/8,23.65,3.0,2016/11/30,23.89,2.76,2016/10/31
7106,8050437,8000,12,20.0,2016/1/31,C,普通,是,43,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/1/26,4.61,0.02,,,,2017/2/28
280549,11031625,3195,11,18.0,2016/4/16,B,普通,否,27,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,14760.0,6804.11,9,0,50,6,6,26.23,3.53,23.77,0.36,0,正常还款中,2016/9/25,4.54,0.42,2016/11/16,4.6,0.36,2016/10/31
83455,13303974,2085,10,18.0,2016/6/8,B,其他,否,22,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,9000.0,6196.01,4,0,50,8,8,39.39,3.98,10.61,0.23,0,正常还款中,2017/2/7,5.18,0.24,2017/3/8,5.26,0.16,2017/2/28
14074,7656203,6380,12,20.0,2016/1/16,C,普通,否,27,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,9364.0,4336.64,20,0,50,11,12,50.0,5.56,0.0,0.0,0,已还清,2016/12/17,4.61,0.02,,,,2016/12/31
35919,24377308,9000,12,18.0,2016/11/9,B,APP闪电,是,22,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,1,11,50.0,4.8,0.0,0.0,0,已还清,2016/11/9,8.97,0.0,,,,2016/12/31
55548,26269073,12500,12,20.0,2016/11/30,C,其他,否,27,男,成功认证,未成功认证,未成功认证,成功认证,成功认证,未成功认证,9.0,33051.0,7602.59,47,2,58,1,1,4.4,0.97,53.6,5.5,0,正常还款中,2016/12/31,4.4,0.97,2017/1/30,4.48,0.89,2016/12/31
154672,14786072,691,6,18.0,2016/6/29,B,APP闪电,否,20,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,1707.0,1258.53,7,0,50,4,4,32.83,2.27,17.17,0.38,0,正常还款中,2016/10/29,8.39,0.39,2016/11/29,8.52,0.25,2016/10/31
157053,4102210,2500,12,11.0,2015/9/11,AA,普通,是,30,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,12,12,300.0,18.12,0.0,0.0,0,已还清,2016/9/11,26.32,0.19,,,,2016/9/30
124935,18469876,4700,12,18.0,2016/8/25,B,APP闪电,否,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,4.0,5280.0,2999.42,5,1,50,1,1,3.83,0.75,46.17,4.25,0,正常还款中,2016/9/26,3.83,0.75,2016/10/25,3.89,0.69,2016/9/30
178894,8819453,10000,12,18.0,2016/2/23,C,普通,否,31,男,成功认证,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,2.0,6000.0,0.0,4,3,50,8,8,32.29,4.35,17.71,0.61,0,正常还款中,2016/10/22,4.25,0.33,2016/11/23,4.31,0.27,2016/10/31
217153,8965839,5500,8,20.0,2016/2/25,C,其他,否,32,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,9.0,52943.0,12423.01,56,0,50,8,7,50.0,3.58,0.0,0.0,0,已还清,2016/9/13,13.15,0.11,,,,2016/11/30
188133,7609006,6155,12,22.0,2016/1/14,C,其他,否,24,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,2000.0,1344.36,2,0,50,12,12,50.0,6.04,0.0,0.0,0,已还清,2017/1/12,4.63,0.04,,,,2017/2/28
165430,12642031,2000,6,18.0,2016/5/24,B,普通,否,32,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,7.0,20856.0,3092.01,30,0,50,4,3,24.44,1.88,25.56,0.77,7,逾期中,2016/8/31,8.27,0.5,2016/9/24,8.39,0.39,2016/9/30
15846,26617461,10000,6,20.0,2016/12/3,C,普通,否,30,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,9700.0,6052.82,7,0,58,2,2,18.69,1.78,39.31,1.64,0,正常还款中,2017/2/3,9.42,0.82,2017/3/3,9.59,0.65,2017/2/28
159395,1902288,4478,12,12.0,2015/3/3,AA,普通,否,32,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,3000.0,1522.39,3,0,500,12,12,500.0,33.04,0.0,0.0,0,已还清,2015/12/28,44.05,0.37,,,,2016/9/30
59430,2014748,1000,12,12.0,2015/3/26,AA,普通,是,32,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,12,6,500.0,22.7,0.0,0.0,0,已还清,2015/9/12,298.93,1.67,,,,2016/12/31
93937,21403191,7000,6,18.0,2016/10/5,B,APP闪电,是,23,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,2,2,16.17,1.38,33.83,1.27,0,正常还款中,2016/12/5,8.15,0.63,2017/1/5,8.27,0.5,2016/12/31
265049,2434875,3000,12,12.0,2015/5/15,AA,普通,是,24,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,12,12,300.0,19.8,0.0,0.0,0,已还清,2016/5/15,26.42,0.23,,,,2016/10/31
172227,3403254,889,3,9.5,2015/7/29,AA,其他,否,26,男,成功认证,成功认证,未成功认证,未成功认证,成功认证,未成功认证,3.0,6468.0,4981.55,4,0,300,3,3,300.0,4.74,0.0,0.0,0,已还清,2015/10/21,100.8,0.78,,,,2016/9/30
21842,2578033,10749,12,20.0,2015/5/26,D,其他,否,30,女,未成功认证,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,4.0,14019.0,6014.28,19,0,15,12,6,15.0,1.02,0.0,0.0,0,已还清,2015/10/30,9.15,0.0,,,,2017/2/28
107442,2174428,3940,6,12.0,2015/4/13,AA,普通,否,27,男,成功认证,成功认证,成功认证,成功认证,未成功认证,未成功认证,2.0,7541.0,3072.19,4,0,300,6,4,300.0,8.63,0.0,0.0,0,已还清,2015/8/4,152.25,1.1,,,,2016/12/31
281619,10469205,571,6,18.0,2016/4/3,B,APP闪电,否,22,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,4061.0,2928.91,2,0,50,6,6,50.0,2.62,0.0,0.0,0,已还清,2016/7/26,8.68,0.09,,,,2016/11/30
286692,3600402,7877,7,10.5,2015/8/10,AA,普通,否,31,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,12502.0,4123.17,10,0,500,7,7,500.0,17.65,0.0,0.0,0,已还清,2016/3/9,73.34,0.61,,,,2016/9/30
111793,16108382,4550,6,18.0,2016/7/25,B,APP闪电,否,25,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,7230.0,3695.74,3,0,50,3,3,24.44,1.88,25.56,0.77,0,正常还款中,2016/7/31,8.27,0.5,2016/11/25,8.39,0.39,2016/10/31
104523,12867726,2853,6,18.0,2016/5/31,B,其他,否,31,女,成功认证,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,1.0,8000.0,6146.22,3,0,50,4,4,32.83,2.27,17.17,0.38,0,正常还款中,2016/9/30,8.39,0.39,2016/10/31,8.52,0.26,2016/9/30
205567,17747016,4000,6,20.0,2016/8/15,B,普通,否,44,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,14950.0,4998.85,6,1,55,2,2,17.73,1.68,37.27,1.57,0,正常还款中,2016/10/1,8.94,0.77,2016/11/15,9.08,0.63,2016/10/31
42077,13347120,2000,6,16.0,2016/6/10,A,APP闪电,否,25,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,4000.0,4000.0,0,0,50,6,6,50.0,2.35,0.0,0.0,0,已还清,2016/12/9,8.62,0.1,,,,2017/2/28
154651,11831272,4500,12,18.0,2016/5/10,B,APP闪电,否,38,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,2360.0,593.88,10,0,50,5,5,19.72,3.18,30.28,1.78,0,正常还款中,2016/10/10,4.06,0.52,2016/11/10,4.13,0.45,2016/10/31
84183,2487112,1000,10,11.0,2015/5/21,AA,普通,是,22,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,10,7,500.0,20.77,0.0,0.0,0,已还清,2015/6/27,205.49,0.0,,,,2016/12/31
215140,14786344,3000,12,18.0,2016/6/29,B,APP闪电,否,24,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,5.0,15410.0,11028.87,19,0,50,5,5,19.75,3.16,30.25,1.84,0,正常还款中,2016/11/29,4.07,0.51,2016/12/29,4.13,0.46,2016/11/30
12879,9606310,5000,12,20.0,2016/3/13,C,APP闪电,是,42,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,11,11,45.39,5.54,4.61,0.02,0,正常还款中,2017/2/13,4.48,0.15,2017/3/13,4.61,0.02,2017/2/28
37455,7758834,2000,12,20.0,2016/1/18,C,APP闪电,是,22,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2016/7/7,4.61,0.02,,,,2017/2/28
208957,15302762,1000,6,18.0,2016/7/10,F,APP闪电,否,32,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,4.0,4200.0,1095.0,19,0,51,3,3,24.93,1.92,26.07,0.78,0,正常还款中,2016/10/9,8.44,0.51,2016/11/10,8.56,0.39,2016/10/31
270584,16220790,3331,12,22.0,2016/7/23,C,其他,否,34,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,8000.0,4668.98,8,0,50,3,3,11.49,2.54,38.51,3.61,0,正常还款中,2016/10/10,3.9,0.78,2016/11/23,3.98,0.7,2016/10/31
73876,7959604,9500,12,20.0,2016/1/24,C,普通,否,27,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,8960.0,5570.68,10,1,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/1/23,4.61,0.02,,,,2017/2/28
96730,3877018,770,12,11.5,2015/8/27,AA,其他,否,24,男,成功认证,成功认证,成功认证,成功认证,成功认证,未成功认证,5.0,9622.0,4244.84,11,1,220,12,12,220.0,13.88,0.0,0.0,0,已还清,2016/1/12,19.36,0.13,,,,2016/12/31
158458,21550051,6461,12,18.0,2016/10/7,B,APP闪电,否,29,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1000.0,338.87,4,0,50,2,2,7.72,1.44,42.28,3.56,0,正常还款中,2016/12/5,3.89,0.69,2017/1/7,3.95,0.64,2016/12/31
234964,12864725,10100,12,22.0,2016/5/27,C,普通,否,50,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,23083.0,5079.03,23,3,50,6,6,23.63,4.44,26.37,1.71,0,正常还款中,2016/11/28,4.12,0.56,2016/12/27,4.2,0.48,2016/11/30
106347,9850499,30000,12,20.0,2016/3/20,C,普通,否,48,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,7.0,40287.0,17427.12,22,0,50,9,9,50.0,4.93,0.0,0.0,0,已还清,2016/12/2,17.82,0.07,,,,2016/12/31
213441,3794495,9000,12,18.0,2015/8/27,B,普通,是,28,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,12,9,50.0,4.48,0.0,0.0,0,已还清,2016/5/17,17.71,0.13,,,,2016/10/31
243282,17936120,4500,12,18.0,2016/8/18,B,APP闪电,否,23,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,1000.0,677.62,2,0,50,3,3,11.67,2.08,38.33,2.92,0,正常还款中,2016/11/19,3.95,0.64,2016/12/18,4.01,0.57,2016/11/30
27479,1912017,3000,7,12.0,2015/3/9,AA,普通,是,23,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,7,7,500.0,20.17,0.0,0.0,0,已还清,2015/10/9,73.61,0.7,,,,2017/2/28
220240,12684956,4700,6,18.0,2016/5/26,B,APP闪电,否,27,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1000.0,0.0,12,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/8/19,8.65,0.12,,,,2016/12/31
146907,1671403,25000,12,18.0,2015/1/14,C,其他,否,29,男,未成功认证,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,4.0,22100.0,3330.48,21,0,100,12,12,100.0,9.92,0.0,0.0,0,已还清,2015/12/19,9.1,0.06,,,,2016/9/30
343,7305275,3246,12,20.0,2016/1/6,C,普通,否,24,男,成功认证,成功认证,成功认证,未成功认证,未成功认证,未成功认证,9.0,40213.0,19614.82,20,0,50,11,11,45.39,5.54,4.61,0.02,0,正常还款中,2016/12/10,4.48,0.15,2017/1/6,4.61,0.02,2016/12/31
145986,1695555,3000,7,12.0,2015/1/26,AA,普通,是,29,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,7,7,500.0,20.17,0.0,0.0,0,已还清,2015/8/21,73.61,0.7,,,,2016/9/30
276487,18694051,4487,12,22.0,2016/8/28,C,其他,否,27,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,2000.0,1012.44,3,0,55,4,4,55.0,2.84,0.0,0.0,0,已还清,2016/11/30,42.36,0.04,,,,2016/12/31
64130,15371547,4521,12,22.0,2016/7/10,C,普通,否,27,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,21143.0,3978.55,23,6,50,7,7,27.83,4.92,22.17,1.23,0,正常还款中,2017/2/12,4.2,0.48,2017/3/10,4.27,0.41,2017/2/28
243098,10919310,6265,12,18.0,2016/4/13,B,APP闪电,否,27,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,3053.0,0.0,12,0,100,7,11,90.9,9.86,9.1,0.06,0,正常还款中,2016/6/14,8.89,0.27,2017/4/13,9.1,0.06,2016/11/30
71979,3723462,3500,6,10.5,2015/8/21,AA,普通,是,25,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,300,6,6,300.0,9.24,0.0,0.0,0,已还清,2016/2/21,51.12,0.42,,,,2017/2/28
173177,17046315,3365,12,22.0,2016/8/5,C,普通,否,31,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,8879.0,4134.99,8,2,55,2,2,8.35,1.94,46.65,4.83,0,正常还款中,2016/10/4,4.22,0.93,2016/11/5,4.29,0.86,2016/10/31
48097,19306126,2011,9,18.0,2016/9/11,B,其他,否,27,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,6500.0,4488.73,4,0,50,5,5,26.94,2.96,23.06,0.86,0,正常还款中,2017/2/4,5.55,0.43,2017/3/11,5.64,0.34,2017/2/28
12646,24012975,4500,12,22.0,2016/11/5,D,其他,否,23,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,4000.0,3094.28,3,0,58,1,2,58.0,1.06,0.0,0.0,0,已还清,2016/12/4,53.64,0.0,,,,2016/12/31
116827,17875363,2747,12,22.0,2016/8/17,C,普通,否,24,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,8335.0,4752.94,5,3,55,4,4,17.01,3.58,37.99,3.19,0,正常还款中,2016/12/21,4.37,0.78,2017/1/17,4.45,0.69,2016/12/31
186441,2842251,6500,12,20.0,2015/7/3,D,普通,是,28,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,12,12,12,12.0,1.32,0.0,0.0,0,已还清,2016/7/4,1.14,0.0,,,,2016/10/31
217193,15053839,6000,12,22.0,2016/7/8,C,其他,否,23,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,10958.0,1817.35,12,7,50,4,5,19.51,3.88,30.49,2.27,0,正常还款中,2016/11/25,4.04,0.64,2017/1/8,4.12,0.56,2016/11/30
39125,23264405,10000,11,20.0,2016/10/27,C,其他,否,23,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,7.0,19186.0,4119.54,57,0,58,2,2,9.77,1.85,48.23,4.1,0,正常还款中,2016/12/22,4.93,0.88,2017/1/27,5.01,0.81,2016/12/31
217111,25749789,4986,12,22.0,2016/11/24,C,其他,否,24,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,2000.0,1013.7,1,2,50,0,0,0.0,0.0,50.0,6.15,0,正常还款中,,,,2016/12/24,3.76,0.91,2016/11/30
99762,24266510,10200,9,18.0,2016/11/8,B,普通,是,31,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,55,3,3,17.52,2.21,37.48,1.99,0,正常还款中,2017/2/6,5.93,0.65,2017/3/8,6.01,0.57,2017/2/28
142100,18465483,4379,12,22.0,2016/8/25,C,普通,否,48,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,46106.0,6400.75,25,0,55,1,1,4.13,1.01,50.87,1.79,0,正常还款中,2016/9/25,4.13,1.01,2016/10/25,4.22,0.93,2016/9/30
